instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__60relations__32,1,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,4536239.021802098
TREE_graph__60relations__32,2,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,32692349532392734434999343240888164471580649771642018775226218641957888222159699968,10592095.362700514,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,4536239.021802098
TREE_graph__60relations__32,3,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,32692349532392734434999343240888164471580649771642018775226218641957888222159699968,10592095.362700514,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,4536239.021802098
TREE_graph__60relations__32,4,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,32692349532392734434999343240888164471580649771642018775226218641957888222159699968,10592012.846400548,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,4536239.021802098
TREE_graph__60relations__32,5,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,10658977.518400542,32692349532392734434999343240888164471580649771642018775226218641957888222159699968,10585090.531600645,200207107038845850965285738687905983897519319316300731899806076155039192322525670808244408487042077702488064,4536239.021802098
TREE_graph__60relations__47,1,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,4525786.390098136
TREE_graph__60relations__47,2,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,9831005289968867240564017032992021358790227301760449702316922515444660484254181976178688,10590611.995899567,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,4525786.390098136
TREE_graph__60relations__47,3,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,9831005289968867240564017032992021358790227301760449702316922515444660484254181976178688,10589732.581599476,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,4525786.390098136
TREE_graph__60relations__47,4,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,9831005289968867240564017032992021358790227301760449702316922515444660484254181976178688,10586880.600699563,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,4525786.390098136
TREE_graph__60relations__47,5,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,10653783.797799654,9831005289968867240564017032992021358790227301760449702316922515444660484254181976178688,10585421.884899527,592471176796768919669981836680251882621224567798664809317395764918621169781186202057426356666368,4525786.390098136
TREE_graph__60relations__18,1,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,4546334.444201235
TREE_graph__60relations__18,2,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,4546334.444201235
TREE_graph__60relations__18,3,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10692456.036299894,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,4546334.444201235
TREE_graph__60relations__18,4,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10691445.760599911,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,4546334.444201235
TREE_graph__60relations__18,5,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10693620.143999897,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,10690185.729399875,1928626498740114215837391603109304168189686978982008897822867969191677465887479306565657669323978719625216,4546334.444201235
TREE_graph__60relations__3,1,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,4577186.624199643
TREE_graph__60relations__3,2,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,2354953795438949142148876568817613650898327156747679925118275221162701408002968394921751790833077583872,10696512.93989926,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,4577186.624199643
TREE_graph__60relations__3,3,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,642202874675555658069120778034163971751759930395831364506116665963548032201895811083181867102263814465572915211492317462528,10648352.114899307,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,4577186.624199643
TREE_graph__60relations__3,4,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,244751297296426297623832723450994528203955817707060782921040471971520263081611999242616832000,10585942.666199341,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,4577186.624199643
TREE_graph__60relations__3,5,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,10755091.427999306,244751297296426297623832723450994528203955817707060782921040471971520263081611999242616832000,10585942.666199341,1220495530530788258317093827290255678813273532625579947037796084536917491837972753623190270260543488,4577186.624199643
TREE_graph__60relations__42,1,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,4555417.290899271
TREE_graph__60relations__42,2,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,4555417.290899271
TREE_graph__60relations__42,3,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,26157843747767684230466869902001734707258749308527805969304835372013661653053331008980516864,10895991.752699902,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,4555417.290899271
TREE_graph__60relations__42,4,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,26157843747767684230466869902001734707258749308527805969304835372013661653053331008980516864,10895991.752699902,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,4555417.290899271
TREE_graph__60relations__42,5,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,10942435.974399796,26157843747767684230466869902001734707258749308527805969304835372013661653053331008980516864,10894811.075399818,619671448764140454292122386070405134146266020166941808448943222663699005552073192014907913587067067564032,4555417.290899271
TREE_graph__60relations__22,1,89213528181128684748598107519498317868514414272072232072501518536279733271693095518339072,10638407.168999577,89213528181128684748598107519498317868514414272072232072501518536279733271693095518339072,10638407.168999577,89213528181128684748598107519498317868514414272072232072501518536279733271693095518339072,4541801.386600775
TREE_graph__60relations__22,2,89213528181128684748598107519498317868514414272072232072501518536279733271693095518339072,10638407.168999577,154461991241276916454475990603957630378007254188083608107656709298865901164867673078679340863895633920,10578200.165899577,89213528181128684748598107519498317868514414272072232072501518536279733271693095518339072,4541801.386600775
