instance_folder,relative_path,instance_id,num_relations,structure_signature,split_R,split_P,v_num_vars,v_num_edges,rest_num_vars,rest_num_edges,noreuse_cpp_v_find_mapping_time_ms,noreuse_py_v_apply_mapping_time_ms,noreuse_cpp_rest_find_mapping_time_ms,noreuse_py_rest_apply_mapping_time_ms,noreuse_sample_v_time_ms,noreuse_sample_rest_time_ms,reuse_cpp_v_find_mapping_time_ms,reuse_py_v_apply_mapping_time_ms,reuse_cpp_rest_find_mapping_time_ms,reuse_py_rest_apply_mapping_time_ms,reuse_sample_v_time_ms,reuse_sample_rest_time_ms,saved_total_time_ms,saved_mapping_time_ms,saved_total_time_pct
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/0,TREE_graph/60relations/0,0,60,d4cd9f126e9b00a9d1301959f756ac66a5680d62,60,59,3480,106080,3770,120640,1941.33,309.31,2140.84,345.84,95.21,104.00,0.00,315.00,0.00,347.67,95.83,104.36,4073.66,4082.17,82.52
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/1,TREE_graph/60relations/1,1,60,cfdcef6dc95d4e85e5beacc6597018b8eef4b6dd,60,59,3480,106080,3770,120640,1389.32,312.76,2632.28,343.20,97.66,104.83,0.00,315.22,0.00,342.47,95.58,104.34,4022.44,4021.60,82.43
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/2,TREE_graph/60relations/2,2,60,5ad5f52053a2751b0ba79f5ddccba48426f08473,60,59,3480,106080,3770,120640,1667.65,317.44,2292.07,353.14,96.77,103.52,0.00,316.86,0.00,352.35,96.09,104.83,3960.47,3959.72,81.99
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/3,TREE_graph/60relations/3,3,60,08026a423d11b44f8eb35b9dedee90a69e1ffe08,60,59,3480,106080,3770,120640,1396.63,314.84,2526.39,352.44,97.75,105.74,0.00,314.59,0.00,351.88,95.46,104.29,3927.56,3923.02,81.93
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/4,TREE_graph/60relations/4,4,60,9f59dcd024d89260d2eea2b816dba9f2177eac10,60,59,3480,106080,3770,120640,1697.56,320.42,1928.22,347.91,96.72,104.82,0.00,314.17,0.00,357.12,95.46,104.21,3624.69,3625.78,80.63
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/5,TREE_graph/60relations/5,5,60,04263fb0aedd42f403e76188348e3c7e6179f8fb,60,59,3480,106080,3770,120640,1750.91,313.69,2342.99,350.44,97.95,105.77,0.00,317.71,0.00,352.15,95.90,104.80,4091.19,4093.90,82.45
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/6,TREE_graph/60relations/6,6,60,75eba33457ae489ed9abcd9f90ebf356d0f89c54,60,59,3480,106080,3770,120640,1841.51,318.49,2491.03,353.74,96.50,105.60,0.00,312.84,0.00,354.89,95.88,104.49,4338.78,4332.54,83.33
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/7,TREE_graph/60relations/7,7,60,1f668c761bb04af18961b08514b4dc4a3d509d4a,60,59,3480,106080,3770,120640,2191.34,319.49,2369.57,352.76,97.66,104.94,0.00,311.65,0.00,357.16,97.06,104.83,4565.06,4560.91,83.98
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/8,TREE_graph/60relations/8,8,60,564a965b893c979328f227cf13bbbdf39742e097,60,59,3480,106080,3770,120640,1893.21,312.83,2495.76,349.32,95.75,104.76,0.00,316.75,0.00,345.36,96.63,105.17,4387.71,4388.97,83.55
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/9,TREE_graph/60relations/9,9,60,cd799f117fdeee2cb698ab028224dbaab0c2d8f1,60,59,3480,106080,3770,120640,1586.01,317.97,1643.63,351.97,97.49,105.38,0.00,318.03,0.00,353.13,95.88,104.70,3230.70,3229.64,78.75
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/10,TREE_graph/60relations/10,10,60,c2edba98a34b3cc6dd97d8228c21aa0fe149d9d7,60,59,3480,106080,3770,120640,1686.32,320.58,1764.88,350.99,97.67,104.69,0.00,317.80,0.00,353.78,96.66,104.90,3451.98,3451.20,79.81
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/11,TREE_graph/60relations/11,11,60,2bfadda79e3f228691e5866e7caef70530a330b5,60,59,3480,106080,3770,120640,1733.15,319.11,1723.75,353.19,97.60,105.59,0.00,318.89,0.00,356.61,96.00,103.99,3456.91,3456.90,79.79
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/12,TREE_graph/60relations/12,12,60,5f292e6b466e7d9e4cc30b45b44b052649f3b50d,60,59,3480,106080,3770,120640,2183.69,319.47,2006.07,353.65,98.12,106.47,0.00,318.66,0.00,355.37,97.14,104.93,4191.37,4189.76,82.71
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/13,TREE_graph/60relations/13,13,60,5f0b541d9df7367d3ddce33cc760846b3aa31ee0,60,59,3480,106080,3770,120640,2139.26,314.92,2503.35,353.45,97.88,105.61,0.00,318.80,0.00,353.74,96.90,106.00,4639.03,4642.61,84.12
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/14,TREE_graph/60relations/14,14,60,8f16060b68199e7d80339e7d10fd9bd7ef9e50e8,60,59,3480,106080,3770,120640,1572.66,317.47,2270.04,351.60,98.03,105.08,0.00,317.79,0.00,353.52,95.99,104.68,3842.90,3842.70,81.51
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/15,TREE_graph/60relations/15,15,60,da98549c5273a7b99fbaa7c51b99423f2e4a01d2,60,59,3480,106080,3770,120640,1838.60,321.36,2410.96,350.79,98.99,105.92,0.00,317.39,0.00,353.83,100.31,108.78,4246.31,4249.56,82.83
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/16,TREE_graph/60relations/16,16,60,25683771c31a0a3c193975ff1690db11980fb482,60,59,3480,106080,3770,120640,1679.15,316.01,2207.72,350.92,97.43,104.49,0.00,317.12,0.00,352.40,95.83,104.46,3885.91,3886.87,81.71
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/17,TREE_graph/60relations/17,17,60,c016ae64df7d84de2993e81cf318ce431794cf62,60,59,3480,106080,3770,120640,2075.91,318.33,2441.89,351.81,97.46,104.70,0.00,305.95,0.00,352.01,95.63,104.86,4531.66,4517.80,84.07
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/18,TREE_graph/60relations/18,18,60,02f4d1017174bd57582bf8cf3ad526945232e950,60,59,3480,106080,3770,120640,2049.97,320.15,2117.68,352.34,98.73,104.60,0.00,318.40,0.00,351.92,92.33,102.47,4178.35,4167.65,82.85
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/19,TREE_graph/60relations/19,19,60,c7329e2b057aea40fb9f0661f2e406b94658cb13,60,59,3480,106080,3770,120640,2047.39,313.31,1833.23,353.00,95.96,105.39,0.00,315.05,0.00,353.83,95.58,107.56,3876.26,3880.62,81.64
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/20,TREE_graph/60relations/20,20,60,4a4f2637bda964bf177c29d1fe93a57159a372e5,60,59,3480,106080,3770,120640,1787.48,317.40,2770.53,353.42,96.39,105.57,0.00,318.13,0.00,352.90,92.69,103.27,4563.79,4558.01,84.04
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/21,TREE_graph/60relations/21,21,60,199334be36c00e1a16ef7ee0ec7453851f37ea2b,60,59,3480,106080,3770,120640,1666.13,319.68,2633.35,350.66,97.37,106.01,0.00,317.74,0.00,350.66,94.80,104.91,4305.08,4299.48,83.22
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/22,TREE_graph/60relations/22,22,60,8498c5886c99271728cb3da5412b3a1f16bc9f23,60,59,3480,106080,3770,120640,1163.65,315.35,2790.83,354.22,95.71,105.62,0.00,316.89,0.00,347.98,93.32,105.05,3962.14,3954.48,82.11
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/23,TREE_graph/60relations/23,23,60,a3e054b225ec0294c59cbe41d117f5a893a364d0,60,59,3480,106080,3770,120640,2211.64,314.08,2951.49,353.89,96.79,105.43,0.00,315.69,0.00,350.94,95.74,104.35,5166.60,5163.13,85.63
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/24,TREE_graph/60relations/24,24,60,bbb0c7719463481d5c4fe8b76ff23491e56ff74d,60,59,3480,106080,3770,120640,1844.25,316.68,2420.90,353.45,99.53,106.11,0.00,316.53,0.00,354.23,96.18,104.35,4269.64,4265.15,83.05
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/25,TREE_graph/60relations/25,25,60,0f2736a4bcb5ed563d691a6ebe1e9708d9a49bb7,60,59,3480,106080,3770,120640,2039.18,315.72,2675.89,352.90,99.09,106.00,0.00,318.09,0.00,354.90,95.67,104.14,4715.98,4715.07,84.38
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/26,TREE_graph/60relations/26,26,60,cd97674bde6e0d72b866fa0108db2a5804a1c083,60,59,3480,106080,3770,120640,1932.10,316.22,1974.38,340.42,97.57,105.81,0.00,314.86,0.00,352.00,95.28,104.88,3899.49,3906.48,81.81
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/27,TREE_graph/60relations/27,27,60,37ddb45d439807080372101206b87303883084e0,60,59,3480,106080,3770,120640,2155.86,319.25,3264.68,352.72,99.79,105.42,0.00,316.20,0.00,351.81,95.64,104.63,5429.43,5420.54,86.21
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/28,TREE_graph/60relations/28,28,60,c07aeeb7b4eaff866d539de0f11b66c43566802b,60,59,3480,106080,3770,120640,1978.00,318.69,2381.66,341.55,98.71,103.69,0.00,315.97,0.00,344.07,96.07,104.66,4361.53,4359.66,83.52
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/29,TREE_graph/60relations/29,29,60,d0a02f424786743a100f033e7b61b43c229d82cc,60,59,3480,106080,3770,120640,1587.76,314.77,2660.34,352.43,98.21,105.01,0.00,312.43,0.00,344.92,95.58,104.55,4261.04,4248.10,83.25
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/30,TREE_graph/60relations/30,30,60,122efa1ec72b39820de79119073479b599b7a827,60,59,3480,106080,3770,120640,1632.55,318.36,2411.83,354.02,95.68,104.04,0.00,316.33,0.00,354.81,95.43,102.93,4046.97,4044.38,82.31
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/31,TREE_graph/60relations/31,31,60,a155b1b5fc395d3c2ad2a94d5bde43b47c7968c6,60,59,3480,106080,3770,120640,2210.55,318.13,2958.14,351.31,97.43,106.55,0.00,317.29,0.00,355.16,95.10,105.29,5169.28,5168.69,85.55
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/32,TREE_graph/60relations/32,32,60,557061cc7628e2ea11ee105e44433fd65cbed58f,60,59,3480,106080,3770,120640,1778.43,319.28,2758.16,354.35,98.74,106.59,0.00,316.69,0.00,352.30,93.83,102.22,4550.51,4536.59,84.03
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/33,TREE_graph/60relations/33,33,60,6ae58f2b0545b53ba4599b23c23ee31d67ff7535,60,59,3480,106080,3770,120640,1680.44,318.61,2308.57,352.32,97.22,107.18,0.00,312.52,0.00,352.54,96.49,103.65,3999.14,3989.01,82.21
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/34,TREE_graph/60relations/34,34,60,704cb846e7e44726c2f12918a0df892144e84f7d,60,59,3480,106080,3770,120640,1764.15,318.94,1996.57,347.39,97.44,103.20,0.00,318.37,0.00,354.57,95.90,104.71,3754.14,3760.72,81.12
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/35,TREE_graph/60relations/35,35,60,16a61ec5742198f0c7c45895c047620a1c5e420c,60,59,3480,106080,3770,120640,1689.52,316.45,2632.37,354.03,99.38,104.86,0.00,312.75,0.00,346.41,93.03,104.28,4340.14,4321.89,83.52
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/36,TREE_graph/60relations/36,36,60,60bd7ce325b3b3a24f1e3807e09a1eeae6ebbe1f,60,59,3480,106080,3770,120640,1695.85,317.49,2595.06,349.91,97.18,104.73,0.00,318.38,0.00,353.91,94.06,105.01,4288.86,4290.91,83.11
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/37,TREE_graph/60relations/37,37,60,0e029a8af81d55a4f2320907213ff562fd7b7e66,60,59,3480,106080,3770,120640,1939.74,318.16,2675.13,352.12,98.90,104.79,0.00,314.07,0.00,348.45,96.66,104.76,4624.90,4614.87,84.26
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/38,TREE_graph/60relations/38,38,60,f3b4dcfdcee0c61ebc8e0f26ad2d7612f1ffd0d2,60,59,3480,106080,3770,120640,1695.65,317.25,2347.17,352.98,97.69,105.75,0.00,313.60,0.00,353.44,96.11,105.31,4048.02,4042.82,82.34
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/39,TREE_graph/60relations/39,39,60,2d0faa3b2abe137e7cc7eb4b97900654bc24b145,60,59,3480,106080,3770,120640,1822.99,317.48,2139.69,351.83,96.97,105.00,0.00,316.08,0.00,348.57,95.81,104.33,3969.17,3962.68,82.11
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/40,TREE_graph/60relations/40,40,60,f90c1d90863995ff42c21bd60c98e0db3d446cea,60,59,3480,106080,3770,120640,1351.53,312.67,2319.98,343.02,93.81,106.19,0.00,319.19,0.00,354.90,95.40,104.92,3652.79,3671.51,80.69
/tank/users/hanwen/vldb26-vision/Problems/TREE_graph/60relations/41,TREE_graph/60relations/41,41,60,820ed50511ec786fde4d484f1ce121e0a4dd635b,60,59,3480,106080,3770,120640,1813.45,307.14,2195.63,347.25,96.94,105.36,0.00,317.11,0.00,353.51,94.69,103.42,3997.04,4009.08,82.15
